layer,cosine_similarity,example_id,filler_type,position_ratio,total_tokens,experiment
17,0.9746789,example_0003,natural,0.5,2048,bloat_sweep
18,0.9795034,example_0003,natural,0.5,2048,bloat_sweep
19,0.97649056,example_0003,natural,0.5,2048,bloat_sweep
20,0.9661604,example_0003,natural,0.5,2048,bloat_sweep
21,0.9707989,example_0003,natural,0.5,2048,bloat_sweep
22,0.96332556,example_0003,natural,0.5,2048,bloat_sweep
23,0.9513942,example_0003,natural,0.5,2048,bloat_sweep
0,0.99969214,example_0004,natural,0.5,2048,bloat_sweep
1,0.99928755,example_0004,natural,0.5,2048,bloat_sweep
2,0.9990722,example_0004,natural,0.5,2048,bloat_sweep
3,0.99840844,example_0004,natural,0.5,2048,bloat_sweep
4,0.99787384,example_0004,natural,0.5,2048,bloat_sweep
5,0.9973062,example_0004,natural,0.5,2048,bloat_sweep
6,0.99624145,example_0004,natural,0.5,2048,bloat_sweep
7,0.9952151,example_0004,natural,0.5,2048,bloat_sweep
8,0.99421155,example_0004,natural,0.5,2048,bloat_sweep
9,0.9944944,example_0004,natural,0.5,2048,bloat_sweep
10,0.99303514,example_0004,natural,0.5,2048,bloat_sweep
11,0.99109584,example_0004,natural,0.5,2048,bloat_sweep
12,0.9838829,example_0004,natural,0.5,2048,bloat_sweep
13,0.9756685,example_0004,natural,0.5,2048,bloat_sweep
14,0.9818238,example_0004,natural,0.5,2048,bloat_sweep
15,0.97561896,example_0004,natural,0.5,2048,bloat_sweep
16,0.9769571,example_0004,natural,0.5,2048,bloat_sweep
17,0.9830968,example_0004,natural,0.5,2048,bloat_sweep
18,0.98723197,example_0004,natural,0.5,2048,bloat_sweep
19,0.98670644,example_0004,natural,0.5,2048,bloat_sweep
20,0.9896687,example_0004,natural,0.5,2048,bloat_sweep
21,0.99186516,example_0004,natural,0.5,2048,bloat_sweep
22,0.990621,example_0004,natural,0.5,2048,bloat_sweep
23,0.983906,example_0004,natural,0.5,2048,bloat_sweep
0,0.99970126,example_0005,natural,0.5,2048,bloat_sweep
1,0.9996014,example_0005,natural,0.5,2048,bloat_sweep
2,0.9991836,example_0005,natural,0.5,2048,bloat_sweep
3,0.9982024,example_0005,natural,0.5,2048,bloat_sweep
4,0.9966499,example_0005,natural,0.5,2048,bloat_sweep
5,0.99467075,example_0005,natural,0.5,2048,bloat_sweep
6,0.9927566,example_0005,natural,0.5,2048,bloat_sweep
7,0.9925019,example_0005,natural,0.5,2048,bloat_sweep
8,0.9908579,example_0005,natural,0.5,2048,bloat_sweep
9,0.9910424,example_0005,natural,0.5,2048,bloat_sweep
10,0.98920256,example_0005,natural,0.5,2048,bloat_sweep
11,0.9870408,example_0005,natural,0.5,2048,bloat_sweep
12,0.97867846,example_0005,natural,0.5,2048,bloat_sweep
13,0.96996486,example_0005,natural,0.5,2048,bloat_sweep
14,0.97901964,example_0005,natural,0.5,2048,bloat_sweep
15,0.97427404,example_0005,natural,0.5,2048,bloat_sweep
16,0.97477955,example_0005,natural,0.5,2048,bloat_sweep
17,0.9817752,example_0005,natural,0.5,2048,bloat_sweep
18,0.98488843,example_0005,natural,0.5,2048,bloat_sweep
19,0.9833596,example_0005,natural,0.5,2048,bloat_sweep
20,0.98346514,example_0005,natural,0.5,2048,bloat_sweep
21,0.988787,example_0005,natural,0.5,2048,bloat_sweep
22,0.98898876,example_0005,natural,0.5,2048,bloat_sweep
23,0.9842244,example_0005,natural,0.5,2048,bloat_sweep
0,0.9996835,example_0006,natural,0.5,2048,bloat_sweep
1,0.99938965,example_0006,natural,0.5,2048,bloat_sweep
2,0.999115,example_0006,natural,0.5,2048,bloat_sweep
3,0.9969559,example_0006,natural,0.5,2048,bloat_sweep
4,0.99571365,example_0006,natural,0.5,2048,bloat_sweep
5,0.9952729,example_0006,natural,0.5,2048,bloat_sweep
6,0.9945162,example_0006,natural,0.5,2048,bloat_sweep
7,0.9948462,example_0006,natural,0.5,2048,bloat_sweep
8,0.9938868,example_0006,natural,0.5,2048,bloat_sweep
9,0.99413407,example_0006,natural,0.5,2048,bloat_sweep
10,0.99313563,example_0006,natural,0.5,2048,bloat_sweep
11,0.9913961,example_0006,natural,0.5,2048,bloat_sweep
12,0.9851018,example_0006,natural,0.5,2048,bloat_sweep
13,0.98215383,example_0006,natural,0.5,2048,bloat_sweep
14,0.984819,example_0006,natural,0.5,2048,bloat_sweep
