layer,cosine_similarity,example_id,filler_type,sink_prefix_tokens,total_tokens,experiment
6,0.97121674,example_0004,natural,64,4096,sink_stress
7,0.96765536,example_0004,natural,64,4096,sink_stress
8,0.9657607,example_0004,natural,64,4096,sink_stress
9,0.96871614,example_0004,natural,64,4096,sink_stress
10,0.9671,example_0004,natural,64,4096,sink_stress
11,0.9613909,example_0004,natural,64,4096,sink_stress
12,0.9482799,example_0004,natural,64,4096,sink_stress
13,0.9445584,example_0004,natural,64,4096,sink_stress
14,0.9483575,example_0004,natural,64,4096,sink_stress
15,0.9489825,example_0004,natural,64,4096,sink_stress
16,0.94953847,example_0004,natural,64,4096,sink_stress
17,0.96150136,example_0004,natural,64,4096,sink_stress
18,0.968224,example_0004,natural,64,4096,sink_stress
19,0.9588634,example_0004,natural,64,4096,sink_stress
20,0.9706704,example_0004,natural,64,4096,sink_stress
21,0.97980344,example_0004,natural,64,4096,sink_stress
22,0.9789036,example_0004,natural,64,4096,sink_stress
23,0.96491915,example_0004,natural,64,4096,sink_stress
0,0.9999045,example_0005,natural,64,4096,sink_stress
1,0.9994969,example_0005,natural,64,4096,sink_stress
2,0.9985734,example_0005,natural,64,4096,sink_stress
3,0.99686265,example_0005,natural,64,4096,sink_stress
4,0.9923229,example_0005,natural,64,4096,sink_stress
5,0.97183144,example_0005,natural,64,4096,sink_stress
6,0.96760046,example_0005,natural,64,4096,sink_stress
7,0.96494985,example_0005,natural,64,4096,sink_stress
8,0.96321964,example_0005,natural,64,4096,sink_stress
9,0.96572536,example_0005,natural,64,4096,sink_stress
10,0.96302974,example_0005,natural,64,4096,sink_stress
11,0.9554412,example_0005,natural,64,4096,sink_stress
12,0.9453991,example_0005,natural,64,4096,sink_stress
13,0.9434449,example_0005,natural,64,4096,sink_stress
14,0.9495977,example_0005,natural,64,4096,sink_stress
15,0.95372164,example_0005,natural,64,4096,sink_stress
16,0.95559514,example_0005,natural,64,4096,sink_stress
17,0.96325874,example_0005,natural,64,4096,sink_stress
18,0.9709242,example_0005,natural,64,4096,sink_stress
19,0.9632751,example_0005,natural,64,4096,sink_stress
20,0.97376776,example_0005,natural,64,4096,sink_stress
21,0.9819528,example_0005,natural,64,4096,sink_stress
22,0.98237586,example_0005,natural,64,4096,sink_stress
23,0.97097015,example_0005,natural,64,4096,sink_stress
0,0.9996569,example_0006,natural,64,4096,sink_stress
1,0.99902254,example_0006,natural,64,4096,sink_stress
2,0.9985466,example_0006,natural,64,4096,sink_stress
3,0.99732137,example_0006,natural,64,4096,sink_stress
4,0.99440163,example_0006,natural,64,4096,sink_stress
5,0.9736557,example_0006,natural,64,4096,sink_stress
6,0.9713898,example_0006,natural,64,4096,sink_stress
7,0.9681538,example_0006,natural,64,4096,sink_stress
8,0.96820605,example_0006,natural,64,4096,sink_stress
9,0.9712211,example_0006,natural,64,4096,sink_stress
10,0.9690357,example_0006,natural,64,4096,sink_stress
11,0.96240354,example_0006,natural,64,4096,sink_stress
12,0.94536495,example_0006,natural,64,4096,sink_stress
13,0.942868,example_0006,natural,64,4096,sink_stress
14,0.9410305,example_0006,natural,64,4096,sink_stress
15,0.94356865,example_0006,natural,64,4096,sink_stress
16,0.9476997,example_0006,natural,64,4096,sink_stress
17,0.9593905,example_0006,natural,64,4096,sink_stress
18,0.9684743,example_0006,natural,64,4096,sink_stress
19,0.9624089,example_0006,natural,64,4096,sink_stress
20,0.9794479,example_0006,natural,64,4096,sink_stress
21,0.9859346,example_0006,natural,64,4096,sink_stress
22,0.98528486,example_0006,natural,64,4096,sink_stress
23,0.9682173,example_0006,natural,64,4096,sink_stress
0,0.9999181,example_0007,natural,64,4096,sink_stress
1,0.99970275,example_0007,natural,64,4096,sink_stress
2,0.9995545,example_0007,natural,64,4096,sink_stress
3,0.99892515,example_0007,natural,64,4096,sink_stress
4,0.9961854,example_0007,natural,64,4096,sink_stress
5,0.9790505,example_0007,natural,64,4096,sink_stress
6,0.9770884,example_0007,natural,64,4096,sink_stress
7,0.9729781,example_0007,natural,64,4096,sink_stress
8,0.97192305,example_0007,natural,64,4096,sink_stress
9,0.97447896,example_0007,natural,64,4096,sink_stress
10,0.9729422,example_0007,natural,64,4096,sink_stress
11,0.9665926,example_0007,natural,64,4096,sink_stress
12,0.9502495,example_0007,natural,64,4096,sink_stress
13,0.94627225,example_0007,natural,64,4096,sink_stress
14,0.9519319,example_0007,natural,64,4096,sink_stress
15,0.954721,example_0007,natural,64,4096,sink_stress
16,0.95635974,example_0007,natural,64,4096,sink_stress
17,0.9665864,example_0007,natural,64,4096,sink_stress
18,0.97240895,example_0007,natural,64,4096,sink_stress
19,0.95775586,example_0007,natural,64,4096,sink_stress
20,0.9710289,example_0007,natural,64,4096,sink_stress
21,0.97773623,example_0007,natural,64,4096,sink_stress
22,0.9733393,example_0007,natural,64,4096,sink_stress
23,0.9493573,example_0007,natural,64,4096,sink_stress
