layer,head,relevant_mass,sink_mass,relevant_ratio,sink_over_relevant,example_id,filler_type,correct_location,total_tokens,experiment
0,0,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
0,1,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
0,2,0.0,2.384185791015625e-07,0.0,23.84185791015625,example_0000,natural,front,4096,competition_sweep
0,3,0.00029462575912475586,0.009812235832214355,0.00029463230954715377,33.304066356463686,example_0000,natural,front,4096,competition_sweep
0,4,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
0,5,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
0,6,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
0,7,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
0,8,3.24249267578125e-05,0.0009634494781494141,3.242264249542775e-05,29.71323529411765,example_0000,natural,front,4096,competition_sweep
0,9,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
0,10,4.0471553802490234e-05,0.0020127296447753906,4.047158516231818e-05,49.7319587628866,example_0000,natural,front,4096,competition_sweep
0,11,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
0,12,2.384185791015625e-07,6.455183029174805e-05,2.384278023030576e-07,270.75,example_0000,natural,front,4096,competition_sweep
0,13,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
1,0,0.00017881393432617188,0.0019698739051818848,0.00017881616190539826,11.016333333333334,example_0000,natural,front,4096,competition_sweep
1,1,5.0902366638183594e-05,0.010961532592773438,5.090217246180549e-05,215.34426229508196,example_0000,natural,front,4096,competition_sweep
1,2,0.0009483098983764648,0.0014098882675170898,0.0009483101809949222,1.486737900691389,example_0000,natural,front,4096,competition_sweep
1,3,0.0006764531135559082,0.016567587852478027,0.0006764616211296355,24.49184950215878,example_0000,natural,front,4096,competition_sweep
1,4,1.1324882507324219e-06,1.2636184692382812e-05,1.1325424570794721e-06,11.157894736842104,example_0000,natural,front,4096,competition_sweep
1,5,8.761882781982422e-05,0.004380702972412109,8.761855625123232e-05,49.99727891156463,example_0000,natural,front,4096,competition_sweep
1,6,0.00013810396194458008,0.005602061748504639,0.00013809737694850215,40.564091497626244,example_0000,natural,front,4096,competition_sweep
1,7,0.0001252293586730957,0.002065718173980713,0.00012522611927176928,16.495478343645882,example_0000,natural,front,4096,competition_sweep
1,8,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
1,9,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
1,10,9.5367431640625e-07,0.0,9.53705581311567e-07,0.0,example_0000,natural,front,4096,competition_sweep
1,11,1.7881393432617188e-06,0.0,1.7878644055029036e-06,0.0,example_0000,natural,front,4096,competition_sweep
1,12,5.984306335449219e-05,0.10129660367965698,5.9841058810052204e-05,1692.7041832669322,example_0000,natural,front,4096,competition_sweep
1,13,8.946657180786133e-05,0.016414403915405273,8.947002214815199e-05,183.4696868754164,example_0000,natural,front,4096,competition_sweep
2,0,4.589557647705078e-06,1.430511474609375e-06,4.589551082299592e-06,0.3116883116883117,example_0000,natural,front,4096,competition_sweep
2,1,6.020069122314453e-06,0.0,6.020395669940689e-06,0.0,example_0000,natural,front,4096,competition_sweep
2,2,5.960464477539063e-08,0.0,5.961112918321844e-08,0.0,example_0000,natural,front,4096,competition_sweep
2,3,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
2,4,4.5299530029296875e-06,2.980232238769531e-07,4.5301339143349296e-06,0.06578947368421052,example_0000,natural,front,4096,competition_sweep
2,5,0.00015866756439208984,0.0006015896797180176,0.000158665672949875,3.791510142749812,example_0000,natural,front,4096,competition_sweep
2,6,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
2,7,3.987550735473633e-05,0.0034185051918029785,3.987661258130373e-05,85.72944693572497,example_0000,natural,front,4096,competition_sweep
2,8,3.5762786865234375e-07,2.1278858184814453e-05,3.5767494119823967e-07,59.5,example_0000,natural,front,4096,competition_sweep
2,9,3.039836883544922e-06,0.002624332904815674,3.0396846929107877e-06,863.3137254901961,example_0000,natural,front,4096,competition_sweep
2,10,2.9802322387695312e-06,0.00014334917068481445,2.9802844645758025e-06,48.1,example_0000,natural,front,4096,competition_sweep
2,11,5.429983139038086e-05,0.0018655657768249512,5.429703517923386e-05,34.35675082327113,example_0000,natural,front,4096,competition_sweep
2,12,5.125999450683594e-06,0.00010138750076293945,5.125648722366495e-06,19.77906976744186,example_0000,natural,front,4096,competition_sweep
2,13,0.00035643577575683594,0.0033745169639587402,0.0003564342461069989,9.467391304347826,example_0000,natural,front,4096,competition_sweep
3,0,1.5497207641601562e-06,0.5966812968254089,1.5496755039097718e-06,385025.03846153844,example_0000,natural,front,4096,competition_sweep
3,1,3.159046173095703e-05,0.360352098941803,3.159503228326747e-05,11406.990566037735,example_0000,natural,front,4096,competition_sweep
3,2,2.205371856689453e-06,0.0941164493560791,2.205459143213695e-06,42676.0,example_0000,natural,front,4096,competition_sweep
3,3,1.0907649993896484e-05,0.10510820150375366,1.0907532968763448e-05,9636.191256830602,example_0000,natural,front,4096,competition_sweep
3,4,1.1920928955078125e-07,0.1602783203125,1.1922276296368714e-07,1344512.0,example_0000,natural,front,4096,competition_sweep
