layer,head,relevant_mass,sink_mass,relevant_ratio,sink_over_relevant,example_id,filler_type,total_tokens,experiment
0,0,0.0,5.960464477539063e-08,0.0,5.9604644775390625,example_0000,natural,1024,bloat_sweep
0,1,0.0,0.0,0.0,0.0,example_0000,natural,1024,bloat_sweep
0,2,4.6253204345703125e-05,0.0041152238845825195,4.62516936106623e-05,88.97164948453609,example_0000,natural,1024,bloat_sweep
0,3,0.02697145938873291,0.017739593982696533,0.02697093209828566,0.657717245738178,example_0000,natural,1024,bloat_sweep
0,4,0.0,0.0,0.0,0.0,example_0000,natural,1024,bloat_sweep
0,5,0.0,0.0,0.0,0.0,example_0000,natural,1024,bloat_sweep
0,6,0.00047719478607177734,3.635883331298828e-05,0.0004771261913553745,0.07619285535848114,example_0000,natural,1024,bloat_sweep
0,7,0.0,0.0,0.0,0.0,example_0000,natural,1024,bloat_sweep
0,8,0.0001252889633178711,0.060169875621795654,0.00012528482629097908,480.2488106565176,example_0000,natural,1024,bloat_sweep
0,9,0.0002605319023132324,5.960464477539062e-07,0.0002605046053471446,0.0022878059940517046,example_0000,natural,1024,bloat_sweep
0,10,0.0005243420600891113,0.04728728532791138,0.0005243055588666942,90.18404001364101,example_0000,natural,1024,bloat_sweep
0,11,0.00014644861221313477,4.470348358154297e-05,0.00014644667439688943,0.3052503052503053,example_0000,natural,1024,bloat_sweep
0,12,4.7266483306884766e-05,0.0013082027435302734,4.72656268626114e-05,27.677175283732662,example_0000,natural,1024,bloat_sweep
0,13,0.00010275840759277344,2.8848648071289062e-05,0.00010277311553063328,0.28074245939675174,example_0000,natural,1024,bloat_sweep
1,0,0.0005171895027160645,0.04058575630187988,0.0005171603421161388,78.47366601359917,example_0000,natural,1024,bloat_sweep
1,1,0.00042617321014404297,0.0443270206451416,0.0004261763600032711,104.01174825174826,example_0000,natural,1024,bloat_sweep
1,2,0.000383913516998291,0.020902812480926514,0.0003839289178944673,54.446669771774566,example_0000,natural,1024,bloat_sweep
1,3,0.002907991409301758,0.0647473931312561,0.00290810598481035,22.265331638927606,example_0000,natural,1024,bloat_sweep
1,4,1.537799835205078e-05,0.0017014145851135254,1.5379561314108403e-05,110.63953488372093,example_0000,natural,1024,bloat_sweep
1,5,0.0010623931884765625,0.02959054708480835,0.0010622221157457386,27.852726660682226,example_0000,natural,1024,bloat_sweep
1,6,0.0006986856460571289,0.049413084983825684,0.0006986471682796782,70.72291417846783,example_0000,natural,1024,bloat_sweep
1,7,0.0020784735679626465,0.03216272592544556,0.0020784403668631123,15.474204926729948,example_0000,natural,1024,bloat_sweep
1,8,9.417533874511719e-06,3.159046173095703e-06,9.417300367536968e-06,0.33544303797468356,example_0000,natural,1024,bloat_sweep
1,9,1.1920928955078125e-07,9.5367431640625e-07,1.1921383009180002e-07,8.0,example_0000,natural,1024,bloat_sweep
1,10,3.30805778503418e-05,9.900331497192383e-05,3.308266015584019e-05,2.992792792792793,example_0000,natural,1024,bloat_sweep
1,11,1.3113021850585938e-05,1.5914440155029297e-05,1.3113171137314274e-05,1.2136363636363636,example_0000,natural,1024,bloat_sweep
1,12,0.00048810243606567383,0.18889325857162476,0.0004881377286353609,386.9951153987056,example_0000,natural,1024,bloat_sweep
1,13,0.0009406208992004395,0.04504173994064331,0.0009406682768281651,47.88511501172296,example_0000,natural,1024,bloat_sweep
2,0,0.0003859996795654297,0.00041562318801879883,0.0003859844032738344,1.07674490426189,example_0000,natural,1024,bloat_sweep
2,1,6.943941116333008e-05,0.00021022558212280273,6.944138961936462e-05,3.0274678111587985,example_0000,natural,1024,bloat_sweep
2,2,2.384185791015625e-05,7.599592208862305e-05,2.384238088108088e-05,3.1875,example_0000,natural,1024,bloat_sweep
2,3,1.4543533325195312e-05,5.328655242919922e-05,1.4543486514790547e-05,3.6639344262295084,example_0000,natural,1024,bloat_sweep
2,4,9.119510650634766e-05,0.0001246929168701172,9.11926931407598e-05,1.3673202614379085,example_0000,natural,1024,bloat_sweep
2,5,0.0015662312507629395,0.014183640480041504,0.001566166278616791,9.055904403090155,example_0000,natural,1024,bloat_sweep
2,6,3.516674041748047e-05,0.00012671947479248047,3.516490013704775e-05,3.6033898305084744,example_0000,natural,1024,bloat_sweep
2,7,0.0002925395965576172,0.01016223430633545,0.0002925422469628774,34.73797881010595,example_0000,natural,1024,bloat_sweep
2,8,1.436471939086914e-05,0.0005466341972351074,1.4367427218250281e-05,38.053941908713696,example_0000,natural,1024,bloat_sweep
2,9,9.620189666748047e-05,0.003644585609436035,9.620234966192384e-05,37.88475836431227,example_0000,natural,1024,bloat_sweep
2,10,0.00011092424392700195,0.0006261467933654785,0.00011092062088845689,5.644814615797958,example_0000,natural,1024,bloat_sweep
2,11,0.0001475214958190918,0.009494543075561523,0.0001475331738027817,64.36040404040403,example_0000,natural,1024,bloat_sweep
2,12,8.83340835571289e-05,0.00241774320602417,8.833515238976091e-05,27.370445344129553,example_0000,natural,1024,bloat_sweep
2,13,0.0008052587509155273,0.012076735496520996,0.0008053178877614571,14.997335307179867,example_0000,natural,1024,bloat_sweep
3,0,2.6226043701171875e-06,0.5782513618469238,2.622844186006864e-06,220487.45454545456,example_0000,natural,1024,bloat_sweep
3,1,1.9609928131103516e-05,0.4292184114456177,1.9609378790376694e-05,21887.811550151975,example_0000,natural,1024,bloat_sweep
3,2,2.384185791015625e-07,0.12552320957183838,2.3839811722702938e-07,526482.5,example_0000,natural,1024,bloat_sweep
3,3,0.0005365610122680664,0.18304550647735596,0.0005365575582852187,341.1457453899134,example_0000,natural,1024,bloat_sweep
3,4,0.0,0.18908828496932983,0.0,18908828.496932983,example_0000,natural,1024,bloat_sweep
3,5,2.1457672119140625e-06,0.8073489665985107,2.1456981493830283e-06,376251.8888888889,example_0000,natural,1024,bloat_sweep
3,6,2.682209014892578e-06,0.13885533809661865,2.682511686958278e-06,51769.02222222222,example_0000,natural,1024,bloat_sweep
3,7,1.2814998626708984e-05,0.37674540281295776,1.2816907730842792e-05,29398.78604651163,example_0000,natural,1024,bloat_sweep
3,8,1.1980533599853516e-05,0.2166418433189392,1.1977596531383388e-05,18082.82089552239,example_0000,natural,1024,bloat_sweep
3,9,0.0037477612495422363,0.5917802453041077,0.0037477549948012915,157.90233312658046,example_0000,natural,1024,bloat_sweep
3,10,1.2516975402832031e-06,0.10256487131118774,1.2519310290926714e-06,81940.61904761905,example_0000,natural,1024,bloat_sweep
3,11,0.00022715330123901367,0.7850983142852783,0.00022709980616367109,3456.248753607977,example_0000,natural,1024,bloat_sweep
3,12,2.7358531951904297e-05,0.41763317584991455,2.7359161414879926e-05,15265.18954248366,example_0000,natural,1024,bloat_sweep
3,13,0.00012958049774169922,0.729055643081665,0.00012960351043090663,5626.275988960441,example_0000,natural,1024,bloat_sweep
4,0,4.231929779052734e-06,0.2764325737953186,4.231684108953349e-06,65320.69014084507,example_0000,natural,1024,bloat_sweep
4,1,0.00021147727966308594,0.5832465291023254,0.00021145124088146322,2757.9630777903044,example_0000,natural,1024,bloat_sweep
4,2,0.0003669857978820801,0.24320602416992188,0.000366947128622329,662.7123599155433,example_0000,natural,1024,bloat_sweep
4,3,0.0010602474212646484,0.5007839202880859,0.0010603545487499315,472.32741173825053,example_0000,natural,1024,bloat_sweep
4,4,1.3172626495361328e-05,0.6876187920570374,1.3172684596697101e-05,52200.58371040724,example_0000,natural,1024,bloat_sweep
4,5,1.2814998626708984e-05,0.7063457369804382,1.2816858067067578e-05,55118.67441860465,example_0000,natural,1024,bloat_sweep
4,6,3.349781036376953e-05,0.46850091218948364,3.3500867475754343e-05,13986.016014234876,example_0000,natural,1024,bloat_sweep
4,7,0.005497932434082031,0.5144678354263306,0.0054984718850089745,93.57478317432783,example_0000,natural,1024,bloat_sweep
4,8,0.0010427236557006836,0.6106582283973694,0.0010427585236747134,585.6376471933235,example_0000,natural,1024,bloat_sweep
4,9,0.004581034183502197,0.6808973550796509,0.004580908037453097,148.6339825910457,example_0000,natural,1024,bloat_sweep
4,10,3.165006637573242e-05,0.5470095872879028,3.165928079295826e-05,17283.047080979286,example_0000,natural,1024,bloat_sweep
4,11,0.00018221139907836914,0.2495434284210205,0.00018220644675852527,1369.5269872423944,example_0000,natural,1024,bloat_sweep
4,12,1.430511474609375e-05,0.22715556621551514,1.43052861310549e-05,15879.325,example_0000,natural,1024,bloat_sweep
4,13,0.008319675922393799,0.4853208065032959,0.008319780060876178,58.33409991331198,example_0000,natural,1024,bloat_sweep
5,0,0.0024254918098449707,0.6953334212303162,0.0024255175436808333,286.67729093455875,example_0000,natural,1024,bloat_sweep
5,1,1.5914440155029297e-05,0.27805912494659424,1.591675026934778e-05,17472.12734082397,example_0000,natural,1024,bloat_sweep
5,2,0.003901660442352295,0.8169785737991333,0.003900677903603278,209.39253578575904,example_0000,natural,1024,bloat_sweep
5,3,7.987022399902344e-05,0.31670528650283813,7.986510188283765e-05,3965.2485074626866,example_0000,natural,1024,bloat_sweep
5,4,0.00019043684005737305,0.2433357834815979,0.00019042639778340097,1277.7768388106417,example_0000,natural,1024,bloat_sweep
5,5,5.608797073364258e-05,0.6545901298522949,5.607792316454454e-05,11670.775770456961,example_0000,natural,1024,bloat_sweep
5,6,0.00033086538314819336,0.23247522115707397,0.0003309208482161274,702.6278148081427,example_0000,natural,1024,bloat_sweep
5,7,0.000816047191619873,0.7516852021217346,0.0008160135339876699,921.1295741728143,example_0000,natural,1024,bloat_sweep
5,8,0.00043767690658569336,0.47835493087768555,0.0004376873157762882,1092.9407599073947,example_0000,natural,1024,bloat_sweep
5,9,9.125471115112305e-05,0.09017252922058105,9.123954916816468e-05,988.1410842586545,example_0000,natural,1024,bloat_sweep
5,10,0.00011640787124633789,0.5092734098434448,0.00011641588570761634,4374.905273937532,example_0000,natural,1024,bloat_sweep
5,11,9.369850158691406e-05,0.5887664556503296,9.368093489282293e-05,6283.627226463104,example_0000,natural,1024,bloat_sweep
5,12,6.109476089477539e-05,0.19775789976119995,6.109980119018836e-05,3236.9043902439025,example_0000,natural,1024,bloat_sweep
